[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.51 ms
[2026-08-21 20:58:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.02 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.03 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.52 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.99 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:35] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:30:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:33:52] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.58 ms
[2026-08-21 21:33:53] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 26.11 ms
[2026-08-21 21:33:53] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.51 ms
[2026-08-21 21:33:54] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:33:54] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:34:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.03 ms
[2026-08-21 21:34:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:34:11] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 7.95 ms
[2026-08-21 21:35:46] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:35:46] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.04 ms
[2026-08-21 21:35:46] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.58 ms
[2026-08-21 21:35:46] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.53 ms
[2026-08-21 21:35:47] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 3.53 ms
[2026-08-21 21:35:48] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 5.08 ms
[2026-08-21 21:35:48] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.30 ms
[2026-08-21 21:35:49] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 21:37:38] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:38] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.03 ms
[2026-08-21 21:37:40] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.02 ms
[2026-08-21 21:37:40] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.05 ms
[2026-08-21 21:37:42] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:42] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.57 ms
[2026-08-21 21:37:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 4.65 ms
[2026-08-21 21:37:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.59 ms
[2026-08-21 21:37:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.51 ms
[2026-08-21 21:37:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 21:37:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.13 ms
[2026-08-21 21:37:46] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 3.81 ms
[2026-08-21 21:37:47] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 4.33 ms
[2026-08-21 21:37:47] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 21:37:47] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.51 ms
[2026-08-21 21:37:48] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:48] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 5.64 ms
[2026-08-21 21:37:48] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:49] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:49] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:50] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.02 ms
[2026-08-21 21:37:51] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:51] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:37:51] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 21:38:27] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.97 ms
